Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,5,18,treated,MVI_4737,b,111,12.7,29.98,262,Melissodes,male,122,13.96,no,15052,15071,0.63,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,66,9.75,no,1585429,1585435,0.2,no,no,no,"Symetric flower,",
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,79,11.67,no,1585566,1585571,0.17,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,female,71,10.48,yes,1585991,1586536,18.17,yes,yes,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,58,8.57,no,1586343,1586347,0.13,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,63,9.3,no,1586530,1586534,0.13,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,68,10.04,no,1588556,1588560,0.13,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,female,72,10.63,yes,1588943,1589817,29.13,yes,yes,no,landed on the back of the flower and crawled over the petal,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,67,9.89,no,1590499,1590504,0.17,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,female,71,10.48,yes,1590995,1591420,14.17,yes,yes,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,female,84,12.4,yes,1592406,1592609,6.77,yes,yes,no,"not so sure about this id, has bright white bands, that might be colored integument",
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Melissodes,male,68,10.04,no,1595467,1595476,0.3,no,no,no,,
3,5,4,control,MVI_6795,b,86,12.7,28.65,194,Lithurgus,female,90,13.29,yes,1599959,1599971,0.4,yes,no,no,,
3,6,20,treated,MVI_6800,a,87,12.7,26.57,182,Melissodes,female,67,9.78,yes,1609941,1610068,4.23,yes,yes,no,,
3,6,20,treated,MVI_6800,a,87,12.7,26.57,182,Melissodes,female,NA,#VALUE!,no,1612920,1612922,0.07,no,no,no,,
3,6,20,treated,MVI_6800,a,87,12.7,26.57,182,Melissodes,female,70,10.22,yes,1612073,1613356,42.77,yes,yes,no,,
3,6,20,treated,MVI_6800,a,87,12.7,26.57,182,Melissodes,female,76,11.09,yes,1615578,1616095,17.23,yes,yes,no,,
3,6,3,control,MVI_4738,a,79,12.7,25.88,161,Colletes,female,NA,#VALUE!,no,6281,6388,3.57,no,no,no,,
3,6,3,control,MVI_4738,a,79,12.7,25.88,161,Anthidium,female,NA,#VALUE!,no,6381,6387,0.2,no,no,no,,
3,6,3,control,MVI_4738,a,79,12.7,25.88,161,Melissodes,male,NA,#VALUE!,no,11808,11812,0.13,no,no,no,,
